EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16435 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   CC, Q_CC
  1825, 16435,19600101,    5,    0
  1825, 16435,19600102,    5,    0
  1825, 16435,19600103,    8,    0
  1825, 16435,19600104,    6,    0
  1825, 16435,19600105,    4,    0
  1825, 16435,19600106,    4,    0
  1825, 16435,19600107,    5,    0
  1825, 16435,19600108,    6,    0
  1825, 16435,19600109,    6,    0
  1825, 16435,19600110,    7,    0
  1825, 16435,19600111,    7,    0
  1825, 16435,19600112,-9999,    9
  1825, 16435,19600113,    7,    0
  1825, 16435,19600114,    6,    0
  1825, 16435,19600115,    7,    0
  1825, 16435,19600116,    6,    0
  1825, 16435,19600117,    6,    0
  1825, 16435,19600118,    8,    0
  1825, 16435,19600119,-9999,    9
  1825, 16435,19600120,    4,    0
  1825, 16435,19600121,    8,    0
  1825, 16435,19600122,    6,    0
  1825, 16435,19600123,    7,    0
  1825, 16435,19600124,    6,    0
  1825, 16435,19600125,    1,    0
  1825, 16435,19600126,    3,    0
  1825, 16435,19600127,    5,    0
  1825, 16435,19600128,    8,    0
  1825, 16435,19600129,    6,    0
  1825, 16435,19600130,    7,    0
  1825, 16435,19600131,    8,    0
  1825, 16435,19600201,    7,    0
  1825, 16435,19600202,    6,    0
  1825, 16435,19600203,    7,    0
  1825, 16435,19600204,    6,    0
  1825, 16435,19600205,    3,    0
  1825, 16435,19600206,    6,    0
  1825, 16435,19600207,    4,    0
  1825, 16435,19600208,    4,    0
  1825, 16435,19600209,    5,    0
  1825, 16435,19600210,    7,    0
  1825, 16435,19600211,    5,    0
  1825, 16435,19600212,    4,    0
  1825, 16435,19600213,    4,    0
