EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 HU   : Humidity in 1 %
30-34 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16433 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   HU, Q_HU
  1825, 16433,19600101,   91,    0
  1825, 16433,19600102,   95,    0
  1825, 16433,19600103,   93,    0
  1825, 16433,19600104,   80,    0
  1825, 16433,19600105,   83,    0
  1825, 16433,19600106,   84,    0
  1825, 16433,19600107,   89,    0
  1825, 16433,19600108,   98,    0
  1825, 16433,19600109,   95,    0
  1825, 16433,19600110,   92,    0
  1825, 16433,19600111,   87,    0
  1825, 16433,19600112,   95,    0
  1825, 16433,19600113,   88,    0
  1825, 16433,19600114,   87,    0
  1825, 16433,19600115,   90,    0
  1825, 16433,19600116,   91,    0
  1825, 16433,19600117,   83,    0
  1825, 16433,19600118,   95,    0
  1825, 16433,19600119,   95,    0
  1825, 16433,19600120,   87,    0
  1825, 16433,19600121,   81,    0
  1825, 16433,19600122,   92,    0
  1825, 16433,19600123,   94,    0
  1825, 16433,19600124,   89,    0
  1825, 16433,19600125,   83,    0
  1825, 16433,19600126,   94,    0
  1825, 16433,19600127,   92,    0
  1825, 16433,19600128,   90,    0
  1825, 16433,19600129,   89,    0
  1825, 16433,19600130,   78,    0
