EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 PP   : Sea level pressure in 0.1 hPa
30-34 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16432 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   PP, Q_PP
  1825, 16432,19600101, 9989,    0
  1825, 16432,19600102,10089,    0
  1825, 16432,19600103,10125,    0
  1825, 16432,19600104,10138,    0
  1825, 16432,19600105,10217,    0
  1825, 16432,19600106,10309,    0
  1825, 16432,19600107,10282,    0
  1825, 16432,19600108,10280,    0
  1825, 16432,19600109,10333,    0
  1825, 16432,19600110,10304,    0
  1825, 16432,19600111,10204,    0
  1825, 16432,19600112,10183,    0
  1825, 16432,19600113,10193,    0
  1825, 16432,19600114,10294,    0
  1825, 16432,19600115,10291,    0
  1825, 16432,19600116,10226,    0
  1825, 16432,19600117,10146,    0
  1825, 16432,19600118, 9945,    0
  1825, 16432,19600119, 9880,    0
  1825, 16432,19600120,10105,    0
  1825, 16432,19600121,10085,    0
  1825, 16432,19600122, 9924,    0
  1825, 16432,19600123, 9917,    0
  1825, 16432,19600124, 9920,    0
  1825, 16432,19600125,10035,    0
  1825, 16432,19600126,10096,    0
  1825, 16432,19600127,10118,    0
  1825, 16432,19600128,10104,    0
  1825, 16432,19600129,10174,    0
  1825, 16432,19600130,10244,    0
  1825, 16432,19600131,10216,    0
  1825, 16432,19600201,10168,    0
  1825, 16432,19600202,10098,    0
  1825, 16432,19600203, 9909,    0
  1825, 16432,19600204, 9918,    0
  1825, 16432,19600205,10118,    0
  1825, 16432,19600206,10329,    0
  1825, 16432,19600207,10450,    0
  1825, 16432,19600208,10455,    0
  1825, 16432,19600209,10362,    0
  1825, 16432,19600210,10189,    0
  1825, 16432,19600211,10062,    0
  1825, 16432,19600212,10050,    0
  1825, 16432,19600213,10046,    0
  1825, 16432,19600214, 9878,    0
  1825, 16432,19600215, 9862,    0
  1825, 16432,19600216, 9945,    0
  1825, 16432,19600217, 9944,    0
  1825, 16432,19600218, 9894,    0
  1825, 16432,19600219, 9872,    0
  1825, 16432,19600220, 9871,    0
  1825, 16432,19600221, 9931,    0
  1825, 16432,19600222, 9982,    0
  1825, 16432,19600223,10035,    0
  1825, 16432,19600224,10081,    0
  1825, 16432,19600225,10011,    0
  1825, 16432,19600226,10049,    0
  1825, 16432,19600227, 9985,    0
  1825, 16432,19600228,10046,    0
  1825, 16432,19600229, 9947,    0
  1825, 16432,19600301, 9874,    0
  1825, 16432,19600302, 9970,    0
  1825, 16432,19600303,10014,    0
  1825, 16432,19600304,10244,    0
  1825, 16432,19600305,10247,    0
  1825, 16432,19600306,10269,    0
  1825, 16432,19600307,10230,    0
  1825, 16432,19600308,10162,    0
  1825, 16432,19600309,10053,    0
  1825, 16432,19600310,10039,    0
  1825, 16432,19600311,10082,    0
  1825, 16432,19600312,10069,    0
  1825, 16432,19600313,10031,    0
  1825, 16432,19600314,10012,    0
  1825, 16432,19600315,10069,    0
  1825, 16432,19600316,10171,    0
  1825, 16432,19600317,10253,    0
  1825, 16432,19600318,10280,    0
  1825, 16432,19600319,10302,    0
  1825, 16432,19600320,10300,    0
  1825, 16432,19600321,10261,    0
  1825, 16432,19600322,10250,    0
  1825, 16432,19600323,10239,    0
  1825, 16432,19600324,10217,    0
  1825, 16432,19600325,10210,    0
  1825, 16432,19600326,10186,    0
  1825, 16432,19600327,10194,    0
  1825, 16432,19600328,10168,    0
  1825, 16432,19600329,10197,    0
  1825, 16432,19600330,10225,    0
  1825, 16432,19600331,10207,    0
  1825, 16432,19600401,10168,    0
  1825, 16432,19600402,10110,    0
  1825, 16432,19600403,10053,    0
  1825, 16432,19600404,10061,    0
  1825, 16432,19600405,10030,    0
  1825, 16432,19600406,10043,    0
  1825, 16432,19600407,10117,    0
  1825, 16432,19600408,10077,    0
  1825, 16432,19600409,10037,    0
  1825, 16432,19600410, 9998,    0
