EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
0.1mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:5881 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1825,  5881,19600101,    0,    0
  1825,  5881,19600102,    0,    0
  1825,  5881,19600103,    6,    0
  1825,  5881,19600104,    0,    0
  1825,  5881,19600105,   15,    0
  1825,  5881,19600106,    0,    0
  1825,  5881,19600107,    0,    0
  1825,  5881,19600108,    7,    0
  1825,  5881,19600109,    1,    0
  1825,  5881,19600110,   23,    0
  1825,  5881,19600111,   32,    0
  1825,  5881,19600112,  129,    0
  1825,  5881,19600113,   17,    0
  1825,  5881,19600114,   13,    0
  1825,  5881,19600115,   19,    0
  1825,  5881,19600116,   15,    0
  1825,  5881,19600117,   38,    0
  1825,  5881,19600118,  119,    0
  1825,  5881,19600119,  206,    0
  1825,  5881,19600120,    0,    0
  1825,  5881,19600121,   48,    0
  1825,  5881,19600122,    1,    0
  1825,  5881,19600123,    0,    0
  1825,  5881,19600124,    0,    0
  1825,  5881,19600125,    0,    0
  1825,  5881,19600126,    0,    0
  1825,  5881,19600127,    7,    0
  1825,  5881,19600128,   16,    0
  1825,  5881,19600129,    0,    0
  1825,  5881,19600130,  190,    0
  1825,  5881,19600131,  311,    0
  1825,  5881,19600201,    3,    0
  1825,  5881,19600202,   85,    0
  1825,  5881,19600203,    5,    0
  1825,  5881,19600204,    0,    0
  1825,  5881,19600205,    1,    0
  1825,  5881,19600206,    0,    0
  1825,  5881,19600207,    0,    0
  1825,  5881,19600208,    0,    0
  1825,  5881,19600209,    7,    0
  1825,  5881,19600210,   45,    0
  1825,  5881,19600211,   19,    0
  1825,  5881,19600212,    4,    0
  1825,  5881,19600213,    8,    0
  1825,  5881,19600214,   16,    0
  1825,  5881,19600215,   40,    0
  1825,  5881,19600216,   23,    0
  1825,  5881,19600217,    3,    0
  1825,  5881,19600218,   27,    0
  1825,  5881,19600219,   12,    0
  1825,  5881,19600220,    1,    0
  1825,  5881,19600221,    9,    0
  1825,  5881,19600222,   27,    0
  1825,  5881,19600223,    0,    0
  1825,  5881,19600224,  118,    0
  1825,  5881,19600225,  150,    0
  1825,  5881,19600226,  133,    0
  1825,  5881,19600227,    8,    0
  1825,  5881,19600228,    0,    0
  1825,  5881,19600229,   14,    0
  1825,  5881,19600301,    0,    0
  1825,  5881,19600302,   37,    0
  1825,  5881,19600303,   12,    0
  1825,  5881,19600304,    0,    0
  1825,  5881,19600305,    0,    0
  1825,  5881,19600306,    0,    0
  1825,  5881,19600307,    0,    0
  1825,  5881,19600308,    6,    0
  1825,  5881,19600309,   98,    0
  1825,  5881,19600310,   38,    0
  1825,  5881,19600311,    4,    0
  1825,  5881,19600312,    3,    0
  1825,  5881,19600313,   20,    0
  1825,  5881,19600314,    5,    0
  1825,  5881,19600315,    0,    0
  1825,  5881,19600316,    7,    0
  1825,  5881,19600317,    0,    0
  1825,  5881,19600318,    0,    0
  1825,  5881,19600319,   57,    0
  1825,  5881,19600320,   25,    0
  1825,  5881,19600321,    1,    0
  1825,  5881,19600322,    0,    0
  1825,  5881,19600323,    0,    0
  1825,  5881,19600324,    0,    0
  1825,  5881,19600325,    0,    0
  1825,  5881,19600326,    0,    0
  1825,  5881,19600327,    0,    0
  1825,  5881,19600328,    2,    0
  1825,  5881,19600329,    0,    0
  1825,  5881,19600330,    0,    0
  1825,  5881,19600331,    0,    0
  1825,  5881,19600401,    3,    0
  1825,  5881,19600402,  118,    0
  1825,  5881,19600403,   16,    0
  1825,  5881,19600404,   23,    0
  1825,  5881,19600405,    4,    0
  1825,  5881,19600406,    0,    0
  1825,  5881,19600407,    0,    0
  1825,  5881,19600408,   57,    0
  1825,  5881,19600409,    9,    0
  1825,  5881,19600410,   52,    0
  1825,  5881,19600411,   18,    0
  1825,  5881,19600412,    0,    0
  1825,  5881,19600413,    3,    0
  1825,  5881,19600414,    2,    0
  1825,  5881,19600415,    5,    0
  1825,  5881,19600416,    0,    0
  1825,  5881,19600417,    0,    0
  1825,  5881,19600418,    0,    0
  1825,  5881,19600419,    0,    0
  1825,  5881,19600420,    0,    0
  1825,  5881,19600421,    0,    0
  1825,  5881,19600422,    0,    0
  1825,  5881,19600423,   24,    0
  1825,  5881,19600424,   15,    0
  1825,  5881,19600425,    2,    0
  1825,  5881,19600426,    0,    0
  1825,  5881,19600427,    4,    0
  1825,  5881,19600428,    0,    0
  1825,  5881,19600429,    0,    0
  1825,  5881,19600430,    2,    0
  1825,  5881,19600501,    0,    0
  1825,  5881,19600502,    0,    0
  1825,  5881,19600503,    1,    0
  1825,  5881,19600504,   12,    0
  1825,  5881,19600505,    0,    0
  1825,  5881,19600506,    0,    0
  1825,  5881,19600507,    0,    0
  1825,  5881,19600508,    0,    0
  1825,  5881,19600509,    0,    0
  1825,  5881,19600510,    0,    0
  1825,  5881,19600511,   40,    0
  1825,  5881,19600512,    0,    0
  1825,  5881,19600513,   64,    0
  1825,  5881,19600514,    2,    0
  1825,  5881,19600515,    0,    0
  1825,  5881,19600516,    0,    0
  1825,  5881,19600517,    0,    0
  1825,  5881,19600518,    0,    0
  1825,  5881,19600519,    0,    0
  1825,  5881,19600520,    0,    0
  1825,  5881,19600521,    0,    0
  1825,  5881,19600522,    0,    0
  1825,  5881,19600523,   76,    0
  1825,  5881,19600524,    6,    0
  1825,  5881,19600525,    0,    0
  1825,  5881,19600526,   23,    0
  1825,  5881,19600527,    0,    0
  1825,  5881,19600528,    0,    0
  1825,  5881,19600529,    0,    0
  1825,  5881,19600530,    0,    0
  1825,  5881,19600531,    0,    0
  1825,  5881,19600601,    0,    0
  1825,  5881,19600602,    1,    0
  1825,  5881,19600603,    0,    0
  1825,  5881,19600604,    0,    0
  1825,  5881,19600605,    0,    0
  1825,  5881,19600606,    0,    0
  1825,  5881,19600607,   77,    0
