EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : Sunshine in 0.1 Hours
30-34 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16434 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   SS, Q_SS
  1825, 16434,19600101,   51,    0
  1825, 16434,19600102,    0,    0
  1825, 16434,19600103,    0,    0
  1825, 16434,19600104,    0,    0
  1825, 16434,19600105,   58,    0
  1825, 16434,19600106,   29,    0
  1825, 16434,19600107,   45,    0
  1825, 16434,19600108,    2,    0
  1825, 16434,19600109,    2,    0
  1825, 16434,19600110,    2,    0
  1825, 16434,19600111,   11,    0
  1825, 16434,19600112,    0,    0
  1825, 16434,19600113,    0,    0
  1825, 16434,19600114,   23,    0
  1825, 16434,19600115,    1,    0
  1825, 16434,19600116,   27,    0
  1825, 16434,19600117,    0,    0
  1825, 16434,19600118,    0,    0
  1825, 16434,19600119,    0,    0
  1825, 16434,19600120,   56,    0
  1825, 16434,19600121,    0,    0
  1825, 16434,19600122,    3,    0
  1825, 16434,19600123,    4,    0
  1825, 16434,19600124,   48,    0
  1825, 16434,19600125,   73,    0
  1825, 16434,19600126,   34,    0
  1825, 16434,19600127,    0,    0
  1825, 16434,19600128,    0,    0
  1825, 16434,19600129,   26,    0
  1825, 16434,19600130,    0,    0
  1825, 16434,19600131,    0,    0
  1825, 16434,19600201,   24,    0
  1825, 16434,19600202,   11,    0
  1825, 16434,19600203,    7,    0
  1825, 16434,19600204,    2,    0
  1825, 16434,19600205,   74,    0
  1825, 16434,19600206,    0,    0
  1825, 16434,19600207,   79,    0
  1825, 16434,19600208,   61,    0
  1825, 16434,19600209,    5,    0
  1825, 16434,19600210,   16,    0
  1825, 16434,19600211,   41,    0
  1825, 16434,19600212,   63,    0
  1825, 16434,19600213,   64,    0
  1825, 16434,19600214,   36,    0
  1825, 16434,19600215,   60,    0
  1825, 16434,19600216,   16,    0
  1825, 16434,19600217,   66,    0
  1825, 16434,19600218,    6,    0
  1825, 16434,19600219,   66,    0
  1825, 16434,19600220,   74,    0
  1825, 16434,19600221,   73,    0
  1825, 16434,19600222,   30,    0
  1825, 16434,19600223,   68,    0
  1825, 16434,19600224,   51,    0
  1825, 16434,19600225,    0,    0
  1825, 16434,19600226,   23,    0
  1825, 16434,19600227,   84,    0
  1825, 16434,19600228,   44,    0
  1825, 16434,19600229,   20,    0
  1825, 16434,19600301,   45,    0
  1825, 16434,19600302,   28,    0
  1825, 16434,19600303,   38,    0
  1825, 16434,19600304,   42,    0
  1825, 16434,19600305,   42,    0
  1825, 16434,19600306,    0,    0
  1825, 16434,19600307,    3,    0
