EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:5803 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
  1825,  5803,19591201,-9999,    9
  1825,  5803,19591202,-9999,    9
  1825,  5803,19591203,-9999,    9
  1825,  5803,19591204,-9999,    9
  1825,  5803,19591205,-9999,    9
  1825,  5803,19591206,-9999,    9
  1825,  5803,19591207,-9999,    9
  1825,  5803,19591208,-9999,    9
  1825,  5803,19591209,-9999,    9
  1825,  5803,19591210,-9999,    9
  1825,  5803,19591211,-9999,    9
  1825,  5803,19591212,-9999,    9
  1825,  5803,19591213,-9999,    9
  1825,  5803,19591214,-9999,    9
  1825,  5803,19591215,-9999,    9
  1825,  5803,19591216,-9999,    9
  1825,  5803,19591217,-9999,    9
  1825,  5803,19591218,-9999,    9
  1825,  5803,19591219,-9999,    9
  1825,  5803,19591220,-9999,    9
  1825,  5803,19591221,-9999,    9
  1825,  5803,19591222,-9999,    9
  1825,  5803,19591223,-9999,    9
  1825,  5803,19591224,-9999,    9
  1825,  5803,19591225,-9999,    9
  1825,  5803,19591226,-9999,    9
  1825,  5803,19591227,-9999,    9
  1825,  5803,19591228,-9999,    9
  1825,  5803,19591229,-9999,    9
  1825,  5803,19591230,-9999,    9
  1825,  5803,19591231,   67,    0
  1825,  5803,19600101,   50,    1
  1825,  5803,19600102,   83,    0
  1825,  5803,19600103,   89,    0
  1825,  5803,19600104,   56,    1
  1825,  5803,19600105,   72,    0
  1825,  5803,19600106,   67,    0
  1825,  5803,19600107,   67,    0
  1825,  5803,19600108,   33,    1
  1825,  5803,19600109,   61,    0
  1825,  5803,19600110,   61,    0
  1825,  5803,19600111,   39,    0
  1825,  5803,19600112,   22,    1
  1825,  5803,19600113,   28,    0
  1825,  5803,19600114,   33,    0
  1825,  5803,19600115,   33,    0
  1825,  5803,19600116,   17,    1
  1825,  5803,19600117,   17,    0
  1825,  5803,19600118,   17,    0
  1825,  5803,19600119,   44,    0
  1825,  5803,19600120,   83,    0
  1825,  5803,19600121,  106,    0
  1825,  5803,19600122,  100,    0
  1825,  5803,19600123,   94,    0
  1825,  5803,19600124,   89,    0
  1825,  5803,19600125,   33,    1
  1825,  5803,19600126,   44,    0
  1825,  5803,19600127,   44,    0
  1825,  5803,19600128,   39,    0
  1825,  5803,19600129,   28,    0
  1825,  5803,19600130,   72,    0
  1825,  5803,19600131,   89,    0
  1825,  5803,19600201,   89,    0
  1825,  5803,19600202,  106,    0
  1825,  5803,19600203,   89,    0
  1825,  5803,19600204,   89,    0
  1825,  5803,19600205,   78,    0
  1825,  5803,19600206,   78,    0
  1825,  5803,19600207,   56,    0
  1825,  5803,19600208,   72,    0
  1825,  5803,19600209,   33,    0
  1825,  5803,19600210,    0,    1
  1825,  5803,19600211,   17,    0
  1825,  5803,19600212,   17,    0
  1825,  5803,19600213,    0,    0
  1825,  5803,19600214,   28,    0
  1825,  5803,19600215,   11,    0
  1825,  5803,19600216,  -17,    1
  1825,  5803,19600217,   -6,    0
  1825,  5803,19600218,   22,    0
  1825,  5803,19600219,   39,    0
  1825,  5803,19600220,   39,    0
  1825,  5803,19600221,   39,    0
  1825,  5803,19600222,   44,    0
  1825,  5803,19600223,   56,    0
  1825,  5803,19600224,   50,    0
  1825,  5803,19600225,   78,    0
  1825,  5803,19600226,  106,    0
  1825,  5803,19600227,  133,    0
  1825,  5803,19600228,  106,    0
  1825,  5803,19600229,  133,    0
  1825,  5803,19600301,   89,    1
  1825,  5803,19600302,   94,    0
  1825,  5803,19600303,   72,    0
  1825,  5803,19600304,  111,    0
  1825,  5803,19600305,   56,    1
  1825,  5803,19600306,   44,    1
  1825,  5803,19600307,   28,    1
  1825,  5803,19600308,   39,    0
  1825,  5803,19600309,   50,    0
  1825,  5803,19600310,   61,    0
  1825,  5803,19600311,   50,    0
  1825,  5803,19600312,   67,    0
  1825,  5803,19600313,   83,    0
  1825,  5803,19600314,   56,    1
  1825,  5803,19600315,   56,    0
  1825,  5803,19600316,   50,    0
  1825,  5803,19600317,   56,    0
  1825,  5803,19600318,   56,    0
  1825,  5803,19600319,   56,    0
  1825,  5803,19600320,   50,    0
  1825,  5803,19600321,   78,    0
  1825,  5803,19600322,   67,    0
  1825,  5803,19600323,   89,    0
  1825,  5803,19600324,   61,    0
  1825,  5803,19600325,   61,    0
  1825,  5803,19600326,   78,    0
  1825,  5803,19600327,   78,    0
  1825,  5803,19600328,   83,    0
  1825,  5803,19600329,   83,    0
  1825,  5803,19600330,   83,    0
  1825,  5803,19600331,   67,    0
  1825,  5803,19600401,   61,    0
  1825,  5803,19600402,   72,    0
  1825,  5803,19600403,   89,    0
  1825,  5803,19600404,  156,    0
  1825,  5803,19600405,  139,    0
